Team,Avg GS,Avg GC,Goal Difference,Wins,Losses,Avg Odds,Pressure
Uruguay,1.67,0,5,3,0,1.84,5
Russia,2.67,1.33,4,2,1,2.11,7.5
Saudi Arabia,0.67,2.33,-5,1,2,10.84,0
Egypt,0.67,2,-4,0,3,4.84,5
Spain,2,1.67,1,1,0,1.54,10
Portugal,1.67,1.33,1,1,0,2.56,10
Iran,0.67,0.67,0,1,1,9.96,0
Morocco,0.67,1.33,-2,0,2,6.18,0
France,1,0.33,2,2,0,1.65,10
Denmark,0.67,0.33,1,1,0,3.19,5
Peru,0.67,0.67,0,1,2,4.27,0
Australia,0.67,1.67,-3,0,2,6.02,0
Croatia,2.33,0.33,6,3,0,2.54,5
Argentina,1,1.67,-2,1,1,1.64,10
Nigeria,1,1.33,-1,1,2,5.04,5
Iceland,0.67,1.67,-3,0,2,6.16,0
Brazil,1.67,0.33,4,2,0,1.39,10
Switzerland,1.67,1.33,1,1,0,4.22,5
Serbia,0.67,1.33,-2,1,2,4.07,5
Costa Rica,0.67,1.67,-3,0,2,10.72,0
Sweden,1.67,0.67,3,2,1,4.5,0
Mexico,1,1.33,-1,2,1,3.72,5
South Korea,1,1,0,1,2,9.68,0
Germany,0.67,1.33,-2,1,2,1.38,10
Belgium,3,0.67,7,3,0,2.09,7.5
England,2.67,1,5,2,1,1.73,7.5
Tunisia,1.67,2.67,-3,1,2,7.49,0
Panama,0.67,3.67,-9,0,3,13.57,0
Colombia,1.67,0.67,3,2,1,1.95,7.5
Japan,1.33,1.33,0,1,1,3.76,0
Senegal,1.33,1.33,0,1,1,3.72,5
Poland,0.67,1.67,-3,1,2,2.91,5
